query_id,variant,search_latency_ms,results_returned
116,chroma_hnsw_latency,4.575901000066551,10
117,chroma_hnsw_latency,4.865944000016498,10
118,chroma_hnsw_latency,4.81595299993387,10
119,chroma_hnsw_latency,4.411041000025762,10
120,chroma_hnsw_latency,4.540647999988323,10
121,chroma_hnsw_latency,4.320839000001797,10
122,chroma_hnsw_latency,4.646881999974539,10
123,chroma_hnsw_latency,4.327450999994653,10
124,chroma_hnsw_latency,4.41561599996021,10
125,chroma_hnsw_latency,5.202356000040709,10
126,chroma_hnsw_latency,5.235029000004943,10
127,chroma_hnsw_latency,5.259707000050184,10
128,chroma_hnsw_latency,4.974092999987079,10
129,chroma_hnsw_latency,5.463942000005773,10
130,chroma_hnsw_latency,5.539563000070302,10
131,chroma_hnsw_latency,5.089325999961147,10
132,chroma_hnsw_latency,5.991882000103033,10
133,chroma_hnsw_latency,5.580812999937734,10
134,chroma_hnsw_latency,5.040816000018822,10
135,chroma_hnsw_latency,5.674065999983213,10
136,chroma_hnsw_latency,6.110687999921538,10
137,chroma_hnsw_latency,5.0537300000996765,10
138,chroma_hnsw_latency,5.078909999951975,10
139,chroma_hnsw_latency,4.864711999971405,10
140,chroma_hnsw_latency,4.639760000031856,10
141,chroma_hnsw_latency,4.7416039999461645,10
142,chroma_hnsw_latency,4.81033899995964,10
143,chroma_hnsw_latency,4.535239999995611,10
144,chroma_hnsw_latency,4.428409000070133,10
145,chroma_hnsw_latency,4.526040999962788,10
146,chroma_hnsw_latency,5.042557000024317,10
147,chroma_hnsw_latency,5.2841250000028595,10
148,chroma_hnsw_latency,4.652192000094146,10
149,chroma_hnsw_latency,4.683365000005324,10
150,chroma_hnsw_latency,4.77892999992946,10
151,chroma_hnsw_latency,4.731165999942277,10
152,chroma_hnsw_latency,4.556147999892346,10
153,chroma_hnsw_latency,5.17388100001881,10
154,chroma_hnsw_latency,4.947125999933633,10
155,chroma_hnsw_latency,5.017465000037191,10
156,chroma_hnsw_latency,5.295867999961956,10
157,chroma_hnsw_latency,5.119929999978012,10
158,chroma_hnsw_latency,5.477934999930767,10
159,chroma_hnsw_latency,4.503390999957446,10
160,chroma_hnsw_latency,4.413300999999592,10
161,chroma_hnsw_latency,4.694212999993397,10
162,chroma_hnsw_latency,5.296283999996376,10
163,chroma_hnsw_latency,4.583727999943221,10
164,chroma_hnsw_latency,4.554412999937085,10
165,chroma_hnsw_latency,4.71570700005941,10
166,chroma_hnsw_latency,5.253018000075826,10
167,chroma_hnsw_latency,4.5994910000217715,10
168,chroma_hnsw_latency,4.5580920000247716,10
169,chroma_hnsw_latency,4.534365000040452,10
170,chroma_hnsw_latency,4.489349999971637,10
171,chroma_hnsw_latency,4.3017159999863,10
172,chroma_hnsw_latency,4.376218000061272,10
173,chroma_hnsw_latency,4.432809000036286,10
174,chroma_hnsw_latency,4.588796999996703,10
175,chroma_hnsw_latency,4.173929000103271,10
176,chroma_hnsw_latency,4.4098229999463,10
177,chroma_hnsw_latency,4.282974000034301,10
178,chroma_hnsw_latency,4.784600999983013,10
179,chroma_hnsw_latency,4.35785600006966,10
180,chroma_hnsw_latency,4.842581000048085,10
181,chroma_hnsw_latency,4.7331929999927524,10
182,chroma_hnsw_latency,5.035748000068452,10
183,chroma_hnsw_latency,4.510993000053531,10
184,chroma_hnsw_latency,4.348946000050091,10
185,chroma_hnsw_latency,4.3936229999417264,10
186,chroma_hnsw_latency,4.837666999947032,10
187,chroma_hnsw_latency,4.510443999947711,10
188,chroma_hnsw_latency,4.9084810000294965,10
189,chroma_hnsw_latency,4.706987000076879,10
190,chroma_hnsw_latency,5.096571999956723,10
191,chroma_hnsw_latency,4.7790749999876425,10
192,chroma_hnsw_latency,4.522523999980876,10
193,chroma_hnsw_latency,4.322215999991386,10
194,chroma_hnsw_latency,4.6872650000295835,10
195,chroma_hnsw_latency,4.371757999933834,10
196,chroma_hnsw_latency,4.514081000024817,10
197,chroma_hnsw_latency,4.699686999970254,10
198,chroma_hnsw_latency,4.654119999941031,10
199,chroma_hnsw_latency,4.470915999945646,10
200,chroma_hnsw_latency,4.381405999993149,10
